flight.identification.number.default,flight.identification.number.alternative,flight.identification.callsign,flight.status.live,flight.status.text,flight.status.estimated,flight.status.ambiguous,flight.status.generic.status.text,flight.status.generic.status.type,flight.status.generic.status.color,flight.status.generic.status.diverted,flight.status.generic.eventTime.utc_millis,flight.status.generic.eventTime.utc_date,flight.status.generic.eventTime.utc_time,flight.status.generic.eventTime.utc,flight.status.generic.eventTime.local_millis,flight.status.generic.eventTime.local_date,flight.status.generic.eventTime.local_time,flight.status.generic.eventTime.local,flight.aircraft.model.code,flight.aircraft.model.text,flight.aircraft.registration,flight.aircraft.country.name,flight.aircraft.country.alpha2,flight.aircraft.country.alpha3,flight.aircraft.restricted,flight.aircraft.serialNo,flight.aircraft.age.availability,flight.aircraft.availability.serialNo,flight.aircraft.availability.age,flight.owner.name,flight.owner.code.iata,flight.owner.code.icao,flight.airline.name,flight.airline.code.iata,flight.airline.code.icao,flight.airline.short,flight.airport.origin.timezone.name,flight.airport.origin.timezone.offset,flight.airport.origin.timezone.abbr,flight.airport.origin.timezone.abbrName,flight.airport.origin.timezone.isDst,flight.airport.origin.info.terminal,flight.airport.origin.info.baggage,flight.airport.origin.info.gate,flight.airport.destination.code.iata,flight.airport.destination.code.icao,flight.airport.destination.timezone.name,flight.airport.destination.timezone.offset,flight.airport.destination.timezone.abbr,flight.airport.destination.timezone.abbrName,flight.airport.destination.timezone.isDst,flight.airport.destination.info.terminal,flight.airport.destination.info.baggage,flight.airport.destination.info.gate,flight.airport.destination.name,flight.airport.destination.position.latitude,flight.airport.destination.position.longitude,flight.airport.destination.position.country.name,flight.airport.destination.position.country.code,flight.airport.destination.position.region.city,flight.airport.destination.visible,flight.airport.real,flight.time.scheduled.departure_millis,flight.time.scheduled.departure_date,flight.time.scheduled.departure_time,flight.time.scheduled.departure,flight.time.scheduled.arrival_millis,flight.time.scheduled.arrival_date,flight.time.scheduled.arrival_time,flight.time.scheduled.arrival,flight.time.real.departure,flight.time.real.arrival,flight.time.estimated.departure_millis,flight.time.estimated.departure_date,flight.time.estimated.departure_time,flight.time.estimated.departure,flight.time.estimated.arrival,flight.time.other.eta,flight.time.other.duration,flight.identification.codeshare,flight.time.real.departure_millis,flight.time.real.departure_date,flight.time.real.departure_time,flight.time.estimated.arrival_millis,flight.time.estimated.arrival_date,flight.time.estimated.arrival_time,flight.time.other.eta_millis,flight.time.other.eta_date,flight.time.other.eta_time,flight.time.real.arrival_millis,flight.time.real.arrival_date,flight.time.real.arrival_time,flight.aircraft.images,flight.owner
KL993,WA993,KLM993,False,Estimated dep 17:20,None,False,estimated,departure,green,None,1703866800000.0,20231229,1720,1703866800,1703870400000.0,20231229,1820,1703870400,E190,Embraer E190STD,PH-EZW,Netherlands,NL,NLD,False,None,True,True,True,KLM Cityhopper,WA,KLC,KLM,KL,KLM,KLM,Europe/Amsterdam,3600,CET,Central European Time,False,2,None,D6,LCY,EGLC,Europe/London,0,GMT,Greenwich Mean Time,False,None,01,None,London City Airport,51.505268,0.055278,United Kingdom,GB,London,True,None,1703866800000,20231229,1720,1703866800,1703870400000,20231229,1820,1703870400,None,None,1703866800000.0,20231229,1720,1703866800,None,None,None,,,,,,,,,,,,,,,
HV6727,None,TRA99A,False,Estimated dep 17:28,None,False,estimated,departure,green,None,1703867280000.0,20231229,1728,1703867280,1703870880000.0,20231229,1828,1703870880,B738,Boeing 737-8K2,PH-HXE,Netherlands,NL,NLD,False,None,True,True,True,Transavia,HV,TRA,Transavia,HV,TRA,Transavia,Europe/Amsterdam,3600,CET,Central European Time,False,1,None,D86,SVQ,LEZL,Europe/Madrid,3600,CET,Central European Time,False,1,1,None,Seville San Pablo Airport,37.41795,-5.892757,Spain,ES,Seville,True,None,1703866800000,20231229,1720,1703866800,1703877300000,20231229,2015,1703877300,None,None,1703867280000.0,20231229,1728,1703867280,None,None,None,,,,,,,,,,,,,,,
TK7801,None,THY5XT,False,Estimated dep 18:15,None,False,estimated,departure,red,None,1703870100000.0,20231229,1815,1703870100,1703873700000.0,20231229,1915,1703873700,B738,Boeing 737-8F2,TC-JFN,Turkey,TR,TUR,False,None,True,True,True,Turkish Airlines,TK,THY,AnadoluJet,TK,THY,Turkish Airlines,Europe/Amsterdam,3600,CET,Central European Time,False,3,None,G2,ESB,LTAC,Europe/Istanbul,10800,+03,None,False,None,13,None,Ankara Esenboga International Airport,40.128078,32.995079,Turkey,TR,Ankara,True,None,1703866500000,20231229,1715,1703866500,1703879700000,20231229,2055,1703879700,None,None,1703870100000.0,20231229,1815,1703870100,None,None,None,None,,,,,,,,,,,,,,
KL617,None,KLM617,False,Estimated dep 18:00,None,False,estimated,departure,yellow,None,1703869200000.0,20231229,1800,1703869200,1703872800000.0,20231229,1900,1703872800,B789,Boeing 787-9 Dreamliner,PH-BHP,Netherlands,NL,NLD,False,None,True,True,True,KLM,KL,KLM,KLM,KL,KLM,KLM,Europe/Amsterdam,3600,CET,Central European Time,False,2,None,F8,BOS,KBOS,America/New_York,-18000,EST,Eastern Standard Time,False,E,None,None,Boston Logan International Airport,42.362968,-71.006401,United States,US,Boston,True,None,1703866500000,20231229,1715,1703866500,1703894700000,20231230,0105,1703894700,None,None,1703869200000.0,20231229,1800,1703869200,None,None,None,,,,,,,,,,,,,,,
AT851,None,RAM851W,True,Estimated dep 17:13,None,False,estimated,departure,green,None,1703866380000.0,20231229,1713,1703866380,1703869980000.0,20231229,1813,1703869980,B38M,Boeing 737 MAX 8,CN-MAX,Morocco,MA,MAR,False,None,True,True,True,Royal Air Maroc,AT,RAM,Royal Air Maroc,AT,RAM,Royal Air Maroc,Europe/Amsterdam,3600,CET,Central European Time,False,3,None,G7,CMN,GMMN,Africa/Casablanca,3600,+01,None,True,2,None,None,Casablanca Mohammed V International Airport,33.367458,-7.58996,Morocco,MA,Casablanca,True,None,1703866500000,20231229,1715,1703866500,1703879100000,20231229,2045,1703879100,None,None,1703866380000.0,20231229,1713,1703866380,None,None,None,None,,,,,,,,,,,,,,
KL1861,WA1861,KLM97R,False,Estimated dep 17:18,None,False,estimated,departure,green,None,1703866680000.0,20231229,1718,1703866680,1703870280000.0,20231229,1818,1703870280,E75S,Embraer E175STD,PH-EXI,Netherlands,NL,NLD,False,None,True,True,True,KLM Cityhopper,WA,KLC,KLM,KL,KLM,KLM,Europe/Amsterdam,3600,CET,Central European Time,False,1,None,B18,DUS,EDDL,Europe/Berlin,3600,CET,Central European Time,False,None,None,B25,Dusseldorf International Airport,51.289452,6.766775,Germany,DE,Dusseldorf,True,None,1703866200000,20231229,1710,1703866200,1703868900000,20231229,1755,1703868900,None,None,1703866680000.0,20231229,1718,1703866680,None,None,None,,,,,,,,,,,,,,,
AF1797,A51797,AFR1797,False,Estimated dep 17:18,None,False,estimated,departure,green,None,1703866680000.0,20231229,1718,1703866680,1703870280000.0,20231229,1818,1703870280,E170,Embraer E170STD,F-HBXA,France,FR,FRA,False,None,True,True,True,Air France Hop,A5,HOP,Air France,AF,AFR,Air France,Europe/Amsterdam,3600,CET,Central European Time,False,1,None,C6,LYS,LFLL,Europe/Paris,3600,CET,Central European Time,False,1,106,AB0,Lyon Saint Exupery Airport,45.719643,5.089108,France,FR,Lyon,True,None,1703866200000,20231229,1710,1703866200,1703872200000,20231229,1850,1703872200,None,None,1703866680000.0,20231229,1718,1703866680,None,None,None,,,,,,,,,,,,,,,
U22166,None,EZY40UK,False,Estimated dep 18:47,None,False,estimated,departure,red,None,1703872020000.0,20231229,1847,1703872020,1703875620000.0,20231229,1947,1703875620,A20N,Airbus A320-251N,G-UZHJ,United Kingdom,GB,GBR,False,None,True,True,True,easyJet,U2,EZY,easyJet,U2,EZY,easyJet,Europe/Amsterdam,3600,CET,Central European Time,False,3,None,G3,MAN,EGCC,Europe/London,0,GMT,Greenwich Mean Time,False,1,None,None,Manchester Airport,53.353741,-2.27495,United Kingdom,GB,Manchester,True,None,1703866200000,20231229,1710,1703866200,1703871000000,20231229,1830,1703871000,None,None,1703872020000.0,20231229,1847,1703872020,None,None,None,None,,,,,,,,,,,,,,
KL1933,WA1933,KLM87X,False,Estimated dep 17:18,None,False,estimated,departure,green,None,1703866680000.0,20231229,1718,1703866680,1703870280000.0,20231229,1818,1703870280,E190,Embraer E190STD,PH-EZV,Netherlands,NL,NLD,False,None,True,True,True,KLM Cityhopper,WA,KLC,KLM,KL,KLM,KLM,Europe/Amsterdam,3600,CET,Central European Time,False,1,None,B2,GVA,LSGG,Europe/Zurich,3600,CET,Central European Time,False,1,4,None,Geneva International Airport,46.23806,6.10895,Switzerland,CH,Geneva,True,None,1703866200000,20231229,1710,1703866200,1703871600000,20231229,1840,1703871600,None,None,1703866680000.0,20231229,1718,1703866680,None,None,None,,,,,,,,,,,,,,,
KL643,None,KLM643,False,Estimated dep 17:54,None,False,estimated,departure,yellow,None,1703868840000.0,20231229,1754,1703868840,1703872440000.0,20231229,1854,1703872440,B772,Boeing 777-206(ER),PH-BQL,Netherlands,NL,NLD,False,None,True,True,True,KLM,KL,KLM,KLM,KL,KLM,KLM,Europe/Amsterdam,3600,CET,Central European Time,False,2,None,E19,JFK,KJFK,America/New_York,-18000,EST,Eastern Standard Time,False,4,None,None,New York John F. Kennedy International Airport,40.639751,-73.7789,United States,US,New York,True,None,1703866200000,20231229,1710,1703866200,1703895900000,20231230,0125,1703895900,None,None,1703868840000.0,20231229,1754,1703868840,None,None,None,,,,,,,,,,,,,,,
