,flight.identification.number.default,flight.identification.callsign,flight.status.live,flight.status.text,flight.status.generic.status.text,flight.status.generic.status.color,flight.status.generic.eventTime.utc_date,flight.status.generic.eventTime.utc_time,flight.aircraft.model.code,flight.time.scheduled.departure_date,flight.time.scheduled.departure_time,flight.time.scheduled.departure,flight.time.real.departure,flight.time.real.departure_date,flight.time.real.departure_time
0,OS376,AUA3SV,True,Estimated dep 20:00,estimated,green,20231227,2000,A320,20231227,2000,1703703600,None,,
1,LX735,SWR70T,False,Estimated dep 20:25,estimated,yellow,20231227,2025,BCS1,20231227,2000,1703703600,None,,
2,None,AXY872Y,False,Estimated dep 20:18,estimated,yellow,20231227,2018,E190,20231227,1955,1703703300,None,,
3,LH2309,DLH6MM,False,Estimated dep 20:49,estimated,red,20231227,2049,CRJ9,20231227,1950,1703703000,None,,
4,KL1833,KLM39L,True,Departed 19:57,departed,green,20231227,1957,B737,20231227,1950,1703703000,1703703460,20231227,1957
5,BA8458,CFE88C,False,Estimated dep 20:30,estimated,yellow,20231227,2030,E190,20231227,1950,1703703000,None,,
6,AZ113,ITY113,False,Estimated dep 20:10,estimated,yellow,20231227,2010,A320,20231227,1950,1703703000,None,,
7,AI156,AIC156,True,Estimated dep 20:00,estimated,green,20231227,2000,B788,20231227,1945,1703702700,None,,
8,RO364,ROT364Z,False,Estimated dep 20:31,estimated,red,20231227,2031,B738,20231227,1945,1703702700,None,,
9,LO268,LOT2MN,True,Departed 20:02,departed,yellow,20231227,2002,E195,20231227,1945,1703702700,1703703751,20231227,2002
10,KL1135,KLM1135,True,Estimated dep 20:05,estimated,yellow,20231227,2005,E190,20231227,1945,1703702700,None,,
11,BA441,BAW41HA,False,Estimated dep 20:50,estimated,red,20231227,2050,A319,20231227,1945,1703702700,None,,
12,VY8366,VLG41JT,False,Estimated dep 19:40*,estimated,green,20231227,1940,A20N,20231227,1940,1703702400,None,,
13,KQ117,KQA117,True,Departed 19:46,departed,green,20231227,1946,B788,20231227,1935,1703702100,1703702784,20231227,1946
14,KL1433,KLM1433,True,Departed 20:00,departed,yellow,20231227,2000,E75S,20231227,1930,1703701800,1703703631,20231227,2000
15,LY336,ELY336,True,Estimated dep 20:10,estimated,yellow,20231227,2010,B738,20231227,1930,1703701800,None,,
16,KL997,KLM997,True,Departed 19:40,departed,green,20231227,1940,E190,20231227,1930,1703701800,1703702403,20231227,1940
17,VY8307,VLG6HK,True,Departed 19:31,departed,green,20231227,1931,A320,20231227,1925,1703701500,1703701861,20231227,1931
18,IB3725,IBS3725,True,Estimated dep 19:40*,estimated,green,20231227,1940,A320,20231227,1925,1703701500,None,,
19,U27831,EJU95GA,True,Departed 19:38,departed,yellow,20231227,1938,A319,20231227,1920,1703701200,1703702308,20231227,1938
20,U28674,EJU56UV,True,Departed 19:23,departed,green,20231227,1923,A20N,20231227,1915,1703700900,1703701423,20231227,1923
21,BT620,BTI62D,True,Departed 19:53,departed,yellow,20231227,1953,BCS3,20231227,1910,1703700600,1703703224,20231227,1953
22,AF1141,AFR28RA,True,Departed 19:51,departed,yellow,20231227,1951,BCS3,20231227,1910,1703700600,1703703113,20231227,1951
23,U23302,EZY93AD,True,Departed 19:10,departed,green,20231227,1910,A320,20231227,1905,1703700300,1703700634,20231227,1910
24,SK828,SAS80M,True,Departed 19:56,departed,red,20231227,1956,A20N,20231227,1905,1703700300,1703703364,20231227,1956
25,UX1094,AEA1094,True,Departed 19:13,departed,green,20231227,1913,B738,20231227,1900,1703700000,1703700812,20231227,1913
26,U27845,EJU65KU,True,Departed 19:17,departed,yellow,20231227,1917,A319,20231227,1900,1703700000,1703701057,20231227,1917
27,AY1306,FIN2EG,True,Departed 19:59,departed,red,20231227,1959,A321,20231227,1900,1703700000,1703703544,20231227,1959
28,CSG2576,CSG2576,True,Departed 19:06,departed,green,20231227,1906,B77L,20231227,1855,1703699700,1703700379,20231227,1906
29,BA2545,EFW38J,True,Departed 19:43,departed,red,20231227,1943,A320,20231227,1855,1703699700,1703702612,20231227,1943
30,U27843,EJU95WZ,False,Departed 19:12,departed,yellow,20231227,1912,A20N,20231227,1855,1703699700,1703700729,20231227,1912
31,SK1556,SAS1556,True,Departed 19:44,departed,red,20231227,1944,CRJ9,20231227,1855,1703699700,1703702693,20231227,1944
32,KL1027,None,False,Canceled,canceled,red,,,E295,20231227,1850,1703699400,None,,
33,XQ945,SXS2VP,True,Departed 19:01,departed,green,20231227,1901,B738,20231227,1850,1703699400,1703700060,20231227,1901
34,FR3103,RYR54KJ,True,Departed 18:58,departed,yellow,20231227,1858,B738,20231227,1835,1703698500,1703699927,20231227,1858
35,U27927,EJU81MU,False,Departed 18:38,departed,green,20231227,1838,A20N,20231227,1830,1703698200,1703698696,20231227,1838
36,TK1954,THY5MQ,True,Departed 19:41,departed,red,20231227,1941,A359,20231227,1830,1703698200,1703702494,20231227,1941
37,LH997,DLH7A,False,Departed 18:43,departed,green,20231227,1843,A320,20231227,1830,1703698200,1703699030,20231227,1843
38,7L204,AZG204,False,Estimated dep 21:47,estimated,red,20231227,2147,B744,20231227,1830,1703698200,None,,
39,HV5585,TRA5585,True,Departed 19:16,departed,red,20231227,1916,B738,20231227,1825,1703697900,1703700973,20231227,1916
40,KL991,KLM991,False,Departed 18:35,departed,green,20231227,1835,E190,20231227,1820,1703697600,1703698546,20231227,1835
41,DY1259,NOZ9JL,True,Departed 19:05,departed,red,20231227,1905,B738,20231227,1815,1703697300,1703700301,20231227,1905
42,BA8456,CFE6CP,False,Departed 18:56,departed,yellow,20231227,1856,E190,20231227,1815,1703697300,1703699814,20231227,1856
43,KL1117,KLM43X,False,Departed 18:19,departed,green,20231227,1819,B738,20231227,1810,1703697000,1703697549,20231227,1819
44,AZ109,ITY109,True,Departed 18:26,departed,yellow,20231227,1826,A320,20231227,1805,1703696700,1703698006,20231227,1826
45,U22520,EZY56ZH,False,Departed 18:06,departed,green,20231227,1806,A20N,20231227,1755,1703696100,1703696804,20231227,1806
46,KL1245,KLM25P,False,Departed 18:03,departed,green,20231227,1803,B738,20231227,1755,1703696100,1703696610,20231227,1803
47,KL1799,KLM1799,False,Departed 18:10,departed,yellow,20231227,1810,E190,20231227,1750,1703695800,1703697016,20231227,1810
48,TP673,TAP67U,True,Departed 18:12,departed,yellow,20231227,1812,A319,20231227,1745,1703695500,1703697178,20231227,1812
49,CZ452,CSN452,True,Departed 18:00,departed,yellow,20231227,1800,B77L,20231227,1740,1703695200,1703696436,20231227,1800
50,None,FJO54A,False,Departed 17:48,departed,green,20231227,1748,E550,20231227,1740,1703695200,1703695719,20231227,1748
51,U21516,EZS23YT,False,Departed 17:55,departed,green,20231227,1755,A320,20231227,1740,1703695200,1703696141,20231227,1755
52,SQ7373,None,False,Unknown,unknown,gray,,,74F,20231227,1735,1703694900,None,,
53,KL1773,KLM31W,False,Departed 19:02,departed,red,20231227,1902,E75S,20231227,1735,1703694900,1703700167,20231227,1902
54,KL1031,KLM61S,False,Departed 18:44,departed,red,20231227,1844,E295,20231227,1735,1703694900,1703699071,20231227,1844
55,LH2307,DLH4UX,False,Departed 17:46,departed,green,20231227,1746,CRJ9,20231227,1735,1703694900,1703695604,20231227,1746
56,CI5686,CAL5686,True,Departed 19:08,departed,red,20231227,1908,B744,20231227,1730,1703694600,1703700502,20231227,1908
57,SK1550,SAS48D,False,Departed 17:58,departed,yellow,20231227,1758,E195,20231227,1730,1703694600,1703696320,20231227,1758
58,QR8202,QTR12X,True,Departed 17:44,departed,green,20231227,1744,B748,20231227,1730,1703694600,1703695450,20231227,1744
59,HV6335,TRA6335,True,Departed 18:05,departed,yellow,20231227,1805,B738,20231227,1730,1703694600,1703696727,20231227,1805
60,TK7823,THY1FE,True,Departed 17:54,departed,yellow,20231227,1754,A320,20231227,1725,1703694300,1703696073,20231227,1754
61,BA447,BAW447,False,Departed 18:34,departed,red,20231227,1834,A319,20231227,1725,1703694300,1703698474,20231227,1834
62,KL993,KLM993,False,Departed 18:40,departed,red,20231227,1840,E190,20231227,1720,1703694000,1703698815,20231227,1840
63,AT851,RAM851W,True,Departed 17:34,departed,yellow,20231227,1734,B738,20231227,1715,1703693700,1703694887,20231227,1734
64,KL617,KLM617,False,Departed 17:34,departed,yellow,20231227,1734,B789,20231227,1715,1703693700,1703694847,20231227,1734
65,AF1797,AFR1797,False,Departed 17:32,departed,yellow,20231227,1732,E170,20231227,1710,1703693400,1703694772,20231227,1732
66,KL1933,KLM87X,False,Departed 17:35,departed,yellow,20231227,1735,E190,20231227,1710,1703693400,1703694948,20231227,1735
67,KL1861,KLM97R,False,Departed 17:31,departed,yellow,20231227,1731,E190,20231227,1710,1703693400,1703694710,20231227,1731
68,KL643,KLM643,False,Departed 17:28,departed,yellow,20231227,1728,B772,20231227,1710,1703693400,1703694499,20231227,1728
69,HV6409,TRA6409,False,Departed 17:50,departed,yellow,20231227,1750,B738,20231227,1710,1703693400,1703695822,20231227,1750
70,A3627,AEE6MS,True,Departed 17:42,departed,yellow,20231227,1742,A21N,20231227,1710,1703693400,1703695348,20231227,1742
71,KL1963,KLM1963,False,Departed 17:37,departed,yellow,20231227,1737,B738,20231227,1705,1703693100,1703695076,20231227,1737
72,KL875,KLM875,False,Departed 17:39,departed,yellow,20231227,1739,B77W,20231227,1705,1703693100,1703695142,20231227,1739
73,KL1705,KLM11S,False,Departed 17:24,departed,yellow,20231227,1724,B738,20231227,1700,1703692800,1703694279,20231227,1724
74,KL1367,KLM1367,False,Departed 17:10,departed,green,20231227,1710,E190,20231227,1700,1703692800,1703693404,20231227,1710
75,U27805,EJU73LB,False,Departed 17:27,departed,yellow,20231227,1727,A20N,20231227,1700,1703692800,1703694427,20231227,1727
76,KL1997,KLM1997,False,Departed 17:30,departed,yellow,20231227,1730,E75S,20231227,1700,1703692800,1703694621,20231227,1730
77,D83541,NSZ541B,False,Departed 17:09,departed,green,20231227,1709,B38M,20231227,1700,1703692800,1703693390,20231227,1709
78,KL1633,KLM83Z,False,Departed 17:41,departed,red,20231227,1741,B738,20231227,1655,1703692500,1703695275,20231227,1741
79,KL1607,KLM41L,False,Departed 17:46,departed,red,20231227,1746,B737,20231227,1655,1703692500,1703695602,20231227,1746
80,KL1675,KLM75K,False,Departed 17:13,departed,yellow,20231227,1713,B738,20231227,1655,1703692500,1703693632,20231227,1713
81,KL655,KLM655,True,Departed 17:22,departed,yellow,20231227,1722,A332,20231227,1650,1703692200,1703694164,20231227,1722
82,KL621,KLM166,True,Departed 17:30,departed,yellow,20231227,1730,B78X,20231227,1650,1703692200,1703694603,20231227,1730
83,VY8368,VLG7PL,False,Departed 17:06,departed,yellow,20231227,1706,A320,20231227,1650,1703692200,1703693181,20231227,1706
84,U22166,EZY40UK,False,Departed 17:36,departed,red,20231227,1736,A320,20231227,1650,1703692200,1703695009,20231227,1736
85,KL1783,KLM32N,False,Departed 17:27,departed,yellow,20231227,1727,B737,20231227,1650,1703692200,1703694425,20231227,1727
86,KL1745,KLM35V,False,Departed 17:05,departed,green,20231227,1705,E190,20231227,1650,1703692200,1703693103,20231227,1705
87,KL1133,KLM17G,False,Departed 17:07,departed,yellow,20231227,1707,B738,20231227,1650,1703692200,1703693246,20231227,1707
88,KL1911,KLM77C,False,Departed 17:11,departed,yellow,20231227,1711,E190,20231227,1645,1703691900,1703693501,20231227,1711
89,KL1887,None,False,Canceled,canceled,red,,,E190,20231227,1645,1703691900,None,,
90,KL1347,KLM25G,False,Departed 17:32,departed,red,20231227,1732,B738,20231227,1645,1703691900,1703694737,20231227,1732
91,KL1757,KLM33Q,False,Departed 17:21,departed,yellow,20231227,1721,E75S,20231227,1645,1703691900,1703694102,20231227,1721
92,HV6887,TRA77A,False,Departed 17:03,departed,yellow,20231227,1703,B738,20231227,1645,1703691900,1703692983,20231227,1703
93,CK206,CKK206,True,Departed 18:29,departed,red,20231227,1829,B77L,20231227,1640,1703691600,1703698140,20231227,1829
94,KL1065,KLC1065,False,Departed 16:59,departed,yellow,20231227,1659,E75S,20231227,1640,1703691600,1703692756,20231227,1659
95,KL1023,KLM93K,False,Departed 17:25,departed,yellow,20231227,1725,E295,20231227,1640,1703691600,1703694351,20231227,1725
96,KL1875,KLM71B,False,Departed 17:04,departed,yellow,20231227,1704,E295,20231227,1640,1703691600,1703693042,20231227,1704
97,KL1489,KLM85B,False,Departed 17:08,departed,yellow,20231227,1708,E75S,20231227,1640,1703691600,1703693304,20231227,1708
98,KL1431,KLM79F,False,Departed 17:12,departed,yellow,20231227,1712,B738,20231227,1640,1703691600,1703693562,20231227,1712
99,KL919,KLM63Y,False,Departed 17:14,departed,yellow,20231227,1714,E190,20231227,1640,1703691600,1703693678,20231227,1714
100,KL961,None,False,Scheduled,scheduled,gray,,,E75S,20231228,0915,1703751300,None,,
101,U27977,None,False,Estimated dep 09:15,estimated,green,20231228,0915,A20N,20231228,0915,1703751300,None,,
102,DL57,DAL57,False,Estimated dep 09:15,estimated,green,20231228,0915,A339,20231228,0915,1703751300,None,,
103,DL179,DAL179,False,Estimated dep 09:15,estimated,green,20231228,0915,A333,20231228,0915,1703751300,None,,
104,KL1353,None,False,Scheduled,scheduled,gray,,,B738,20231228,0915,1703751300,None,,
105,KL1993,None,False,Scheduled,scheduled,gray,,,E295,20231228,0915,1703751300,None,,
106,UA71,UAL71,False,Estimated dep 09:15,estimated,green,20231228,0915,B772,20231228,0915,1703751300,None,,
