flight.identification.number.default,flight.identification.callsign,flight.status.live,flight.status.text,flight.status.generic.status.text,flight.status.generic.status.color,flight.status.generic.eventTime.utc_date,flight.status.generic.eventTime.utc_time,flight.aircraft.model.code,flight.airline.short,flight.time.scheduled.departure_date,flight.time.scheduled.departure_time,flight.time.scheduled.departure,flight.time.real.departure,flight.time.real.departure_date,flight.time.real.departure_time,Timestamp,WeatherInfo,time.of.day,month,season,day.of.week,temp,dew.pt,vis,pressure,wind.speed
HV6145,TRA15Y,True,Departed 15:25,departed,yellow,20231229.0,1525.0,B738,Transavia,20231229,1450,1703857800,1703859922.0,20231229.0,1525.0,2023-12-29 14:50:00,EHAM 291425Z 25017KT 220V280 9999 -RADZ FEW017 SCT025 10/07 Q1005 TEMPO 7000 -SHRA SCT018TCU,Afternoon,12,Winter,Friday,10.0 C,7.0 C,greater than 10000 meters,1005.0 mb,17 knots
BA2543,,False,Canceled,canceled,red,,,A320,British Airways,20231229,1450,1703857800,,,,2023-12-29 14:50:00,EHAM 291425Z 25017KT 220V280 9999 -RADZ FEW017 SCT025 10/07 Q1005 TEMPO 7000 -SHRA SCT018TCU,Afternoon,12,Winter,Friday,10.0 C,7.0 C,greater than 10000 meters,1005.0 mb,17 knots
U23444,EZY75EM,False,Departed 15:13,departed,yellow,20231229.0,1513.0,A319,easyJet,20231229,1450,1703857800,1703859235.0,20231229.0,1513.0,2023-12-29 14:50:00,EHAM 291425Z 25017KT 220V280 9999 -RADZ FEW017 SCT025 10/07 Q1005 TEMPO 7000 -SHRA SCT018TCU,Afternoon,12,Winter,Friday,10.0 C,7.0 C,greater than 10000 meters,1005.0 mb,17 knots
TK1958,THY6VM,True,Departed 15:47,departed,red,20231229.0,1547.0,A333,Turkish Airlines,20231229,1450,1703857800,1703861234.0,20231229.0,1547.0,2023-12-29 14:50:00,EHAM 291425Z 25017KT 220V280 9999 -RADZ FEW017 SCT025 10/07 Q1005 TEMPO 7000 -SHRA SCT018TCU,Afternoon,12,Winter,Friday,10.0 C,7.0 C,greater than 10000 meters,1005.0 mb,17 knots
HV5685,TRA77N,True,Departed 15:16,departed,yellow,20231229.0,1516.0,B738,Transavia,20231229,1455,1703858100,1703859406.0,20231229.0,1516.0,2023-12-29 14:55:00,EHAM 291455Z 27014KT 9999 -SHRA FEW017TCU SCT025 BKN045 09/07 Q1005 TEMPO 6000 SHRA SCT018CB,Afternoon,12,Winter,Friday,9.0 C,7.0 C,greater than 10000 meters,1005.0 mb,14 knots
LX729,SWR5KP,False,Departed 16:08,departed,red,20231229.0,1608.0,BCS3,Swiss,20231229,1455,1703858100,1703862516.0,20231229.0,1608.0,2023-12-29 14:55:00,EHAM 291455Z 27014KT 9999 -SHRA FEW017TCU SCT025 BKN045 09/07 Q1005 TEMPO 6000 SHRA SCT018CB,Afternoon,12,Winter,Friday,9.0 C,7.0 C,greater than 10000 meters,1005.0 mb,14 knots
SK548,SAS54P,False,Departed 15:07,departed,green,20231229.0,1507.0,CRJ9,SAS,20231229,1455,1703858100,1703858868.0,20231229.0,1507.0,2023-12-29 14:55:00,EHAM 291455Z 27014KT 9999 -SHRA FEW017TCU SCT025 BKN045 09/07 Q1005 TEMPO 6000 SHRA SCT018CB,Afternoon,12,Winter,Friday,9.0 C,7.0 C,greater than 10000 meters,1005.0 mb,14 knots
U27935,EJU81CN,False,Departed 15:22,departed,yellow,20231229.0,1522.0,A319,easyJet,20231229,1455,1703858100,1703859736.0,20231229.0,1522.0,2023-12-29 14:55:00,EHAM 291455Z 27014KT 9999 -SHRA FEW017TCU SCT025 BKN045 09/07 Q1005 TEMPO 6000 SHRA SCT018CB,Afternoon,12,Winter,Friday,9.0 C,7.0 C,greater than 10000 meters,1005.0 mb,14 knots
KL1189,KLM33Y,False,Departed 15:15,departed,yellow,20231229.0,1515.0,B738,KLM,20231229,1455,1703858100,1703859347.0,20231229.0,1515.0,2023-12-29 14:55:00,EHAM 291455Z 27014KT 9999 -SHRA FEW017TCU SCT025 BKN045 09/07 Q1005 TEMPO 6000 SHRA SCT018CB,Afternoon,12,Winter,Friday,9.0 C,7.0 C,greater than 10000 meters,1005.0 mb,14 knots
DL137,DAL137,False,Departed 15:09,departed,green,20231229.0,1509.0,A333,Delta Air Lines,20231229,1500,1703858400,1703858996.0,20231229.0,1509.0,2023-12-29 15:00:00,EHAM 291455Z 27014KT 9999 -SHRA FEW017TCU SCT025 BKN045 09/07 Q1005 TEMPO 6000 SHRA SCT018CB,Afternoon,12,Winter,Friday,9.0 C,7.0 C,greater than 10000 meters,1005.0 mb,14 knots
