flight.identification.number.default,flight.identification.callsign,flight.status.live,flight.status.generic.status.text,flight.aircraft.model.code,flight.airline.short,flight.time.scheduled.departure_date,flight.time.scheduled.departure_time,flight.time.scheduled.departure,flight.time.real.departure,flight.time.real.departure_date,flight.time.real.departure_time,Timestamp,WeatherInfo,time.of.day,month,season,day.of.week,temp,dew.pt,vis,pressure,wind.speed,isDelayed?
KL1161,KLM39T,False,departed,B738,KLM,20231229,1505,1703858700,1703859125,20231229,1512,2023-12-29 15:05:00,EHAM 291455Z 27014KT 9999 -SHRA FEW017TCU SCT025 BKN045 09/07 Q1005 TEMPO 6000 SHRA SCT018CB,Afternoon,12,Winter,Friday,9.0 C,7.0 C,greater than 10000 meters,1005.0 mb,14 knots,0
KL423,KLM423,True,departed,A333,KLM,20231229,1505,1703858700,1703859522,20231229,1518,2023-12-29 15:05:00,EHAM 291455Z 27014KT 9999 -SHRA FEW017TCU SCT025 BKN045 09/07 Q1005 TEMPO 6000 SHRA SCT018CB,Afternoon,12,Winter,Friday,9.0 C,7.0 C,greater than 10000 meters,1005.0 mb,14 knots,0
KL1203,KLM1203,False,departed,E295,KLM,20231229,1505,1703858700,1703859613,20231229,1520,2023-12-29 15:05:00,EHAM 291455Z 27014KT 9999 -SHRA FEW017TCU SCT025 BKN045 09/07 Q1005 TEMPO 6000 SHRA SCT018CB,Afternoon,12,Winter,Friday,9.0 C,7.0 C,greater than 10000 meters,1005.0 mb,14 knots,0
FR3007,RYR85PZ,False,departed,B738,Ryanair,20231229,1510,1703859000,1703861527,20231229,1552,2023-12-29 15:10:00,EHAM 291455Z 27014KT 9999 -SHRA FEW017TCU SCT025 BKN045 09/07 Q1005 TEMPO 6000 SHRA SCT018CB,Afternoon,12,Winter,Friday,9.0 C,7.0 C,greater than 10000 meters,1005.0 mb,14 knots,1
KL1459,KLM1459,False,departed,E295,KLM,20231229,1510,1703859000,1703860703,20231229,1538,2023-12-29 15:10:00,EHAM 291455Z 27014KT 9999 -SHRA FEW017TCU SCT025 BKN045 09/07 Q1005 TEMPO 6000 SHRA SCT018CB,Afternoon,12,Winter,Friday,9.0 C,7.0 C,greater than 10000 meters,1005.0 mb,14 knots,1
KL1931,KLM53M,False,departed,B738,KLM,20231229,1510,1703859000,1703860023,20231229,1527,2023-12-29 15:10:00,EHAM 291455Z 27014KT 9999 -SHRA FEW017TCU SCT025 BKN045 09/07 Q1005 TEMPO 6000 SHRA SCT018CB,Afternoon,12,Winter,Friday,9.0 C,7.0 C,greater than 10000 meters,1005.0 mb,14 knots,1
KL1131,KLM15E,False,departed,B738,KLM,20231229,1515,1703859300,1703860644,20231229,1537,2023-12-29 15:15:00,EHAM 291455Z 27014KT 9999 -SHRA FEW017TCU SCT025 BKN045 09/07 Q1005 TEMPO 6000 SHRA SCT018CB,Afternoon,12,Winter,Friday,9.0 C,7.0 C,greater than 10000 meters,1005.0 mb,14 knots,1
KL1405,KLM69Z,False,departed,E190,KLM,20231229,1515,1703859300,1703860056,20231229,1527,2023-12-29 15:15:00,EHAM 291455Z 27014KT 9999 -SHRA FEW017TCU SCT025 BKN045 09/07 Q1005 TEMPO 6000 SHRA SCT018CB,Afternoon,12,Winter,Friday,9.0 C,7.0 C,greater than 10000 meters,1005.0 mb,14 knots,0
QR274,QTR17X,True,departed,B77W,Qatar Airways,20231229,1515,1703859300,1703860914,20231229,1541,2023-12-29 15:15:00,EHAM 291455Z 27014KT 9999 -SHRA FEW017TCU SCT025 BKN045 09/07 Q1005 TEMPO 6000 SHRA SCT018CB,Afternoon,12,Winter,Friday,9.0 C,7.0 C,greater than 10000 meters,1005.0 mb,14 knots,1
KL671,KLM671,False,departed,A332,KLM,20231229,1515,1703859300,1703860147,20231229,1529,2023-12-29 15:15:00,EHAM 291455Z 27014KT 9999 -SHRA FEW017TCU SCT025 BKN045 09/07 Q1005 TEMPO 6000 SHRA SCT018CB,Afternoon,12,Winter,Friday,9.0 C,7.0 C,greater than 10000 meters,1005.0 mb,14 knots,0
