Timestamp,WeatherInfo
2023-12-27 18:55:00,EHAM 271855Z 19017KT 9999 -RA FEW031 SCT035 09/06 Q1004 TEMPO 7000
2023-12-27 18:25:00,EHAM 271825Z 18016KT 9999 FEW024 BKN038 09/06 Q1004 TEMPO 7000 -RADZ
2023-12-27 17:55:00,EHAM 271755Z 18015KT 140V200 9999 FEW049 09/07 Q1005 NOSIG
2023-12-27 17:25:00,EHAM 271725Z 17017KT 140V200 CAVOK 09/07 Q1005 NOSIG
2023-12-27 16:55:00,EHAM 271655Z 17014KT 9999 FEW047 08/07 Q1006 NOSIG
2023-12-27 16:25:00,EHAM 271625Z 17016KT CAVOK 09/07 Q1006 NOSIG
2023-12-27 15:55:00,EHAM 271555Z 16016KT 9999 FEW017 09/07 Q1007 NOSIG
2023-12-27 15:25:00,EHAM 271525Z 17016KT 9999 FEW015 BKN048 09/08 Q1007 NOSIG
2023-12-27 14:55:00,EHAM 271455Z 17016KT 9999 FEW010 09/08 Q1008 NOSIG
2023-12-27 14:25:00,EHAM 271425Z 17015KT 140V200 9999 FEW011 09/08 Q1009 TEMPO BKN015
2023-12-27 13:55:00,EHAM 271355Z 17014KT 140V210 9999 FEW010 SCT016 09/08 Q1009 TEMPO BKN015
2023-12-27 13:25:00,EHAM 271325Z 17013KT 140V200 9999 FEW008 SCT012 BKN017 09/09 Q1010 NOSIG
2023-12-27 12:55:00,EHAM 271255Z 17011KT 9999 FEW007 SCT010 BKN013 09/09 Q1010 BECMG BKN015
2023-12-27 12:25:00,EHAM 271225Z 18010KT 150V210 9999 FEW006 SCT008 BKN011 09/09 Q1011 NOSIG
2023-12-27 11:55:00,EHAM 271155Z 17011KT 9999 FEW004 SCT006 BKN008 09/08 Q1012 BECMG BKN012
2023-12-27 11:25:00,EHAM 271125Z 16012KT 9999 -DZ SCT004 BKN005 08/08 Q1012 NOSIG
2023-12-27 10:55:00,EHAM 271055Z 16012KT 4500 -DZ SCT004 BKN005 08/08 Q1013 BECMG 9999 NSW
2023-12-27 10:25:00,EHAM 271025Z 15011KT 120V180 5000 -DZ BKN004 OVC006 08/07 Q1013 BECMG 9999 NSW BKN007
2023-12-27 09:55:00,EHAM 270955Z 15011KT 9999 BKN004 07/07 Q1014 BECMG BKN007
2023-12-27 09:25:00,EHAM 270925Z 14011KT 9999 -DZRA BKN004 BKN006 07/06 Q1014 BECMG BKN007
2023-12-27 08:55:00,EHAM 270855Z 14010KT 090V210 6000 -DZRA FEW003 BKN004 06/06 Q1014 BECMG 8000 BKN005
2023-12-27 08:25:00,EHAM 270825Z 13012KT 4000 DZRA SCT004 BKN005 06/06 Q1015 TEMPO BKN004 BECMG 6000
2023-12-27 07:55:00,EHAM 270755Z 12012KT 4000 DZRA SCT006 BKN008 06/05 Q1015 TEMPO 6000
2023-12-27 07:25:00,EHAM 270725Z 12011KT 9000 -RADZ FEW016 BKN035 06/05 Q1016 BECMG 6000 BKN008
2023-12-27 06:55:00,EHAM 270655Z 12011KT 9999 -RADZ SCT020 BKN042 06/05 Q1016 BECMG BKN018
2023-12-27 05:55:00,EHAM 270555Z 12011KT 9999 SCT026 06/05 Q1017 NOSIG
2023-12-27 05:25:00,EHAM 270525Z 11009KT CAVOK 05/05 Q1017 NOSIG
2023-12-27 04:55:00,EHAM 270455Z 11008KT 080V140 9999 FEW038 05/05 Q1018 NOSIG
2023-12-27 04:25:00,EHAM 270425Z 11008KT CAVOK 05/04 Q1018 NOSIG
2023-12-27 03:55:00,EHAM 270355Z 11007KT 9999 FEW027 05/04 Q1019 NOSIG
2023-12-27 03:25:00,EHAM 270325Z 12007KT 9999 FEW027 04/04 Q1019 NOSIG
2023-12-27 02:55:00,EHAM 270255Z 11006KT 9999 FEW027 03/03 Q1019 NOSIG
2023-12-27 02:25:00,EHAM 270225Z 11005KT 9000 NSC 02/02 Q1020 NOSIG
2023-12-27 01:55:00,EHAM 270155Z 11003KT CAVOK 02/02 Q1020 NOSIG
2023-12-27 01:25:00,EHAM 270125Z 11004KT CAVOK 02/01 Q1020 NOSIG
2023-12-27 00:55:00,EHAM 270055Z 10003KT CAVOK 02/02 Q1020 NOSIG
2023-12-27 00:25:00,EHAM 270025Z 09003KT CAVOK 02/02 Q1020 NOSIG
2023-12-26 23:55:00,EHAM 262355Z 13002KT CAVOK 03/03 Q1020 NOSIG
2023-12-26 23:25:00,EHAM 262325Z 14003KT 9999 FEW026 03/02 Q1021 NOSIG
2023-12-26 22:55:00,EHAM 262255Z 15003KT 9999 FEW030 03/03 Q1021 NOSIG
2023-12-26 22:25:00,EHAM 262225Z 16003KT 9999 FEW026 03/03 Q1020 NOSIG
2023-12-26 21:55:00,EHAM 262155Z 12002KT 9999 FEW026 03/03 Q1020 NOSIG
2023-12-26 21:25:00,EHAM 262125Z 15003KT 9999 FEW024 03/02 Q1020 NOSIG
2023-12-26 20:55:00,EHAM 262055Z VRB01KT CAVOK 04/02 Q1020 NOSIG
2023-12-26 20:25:00,EHAM 262025Z 28002KT 9999 FEW025 04/02 Q1020 NOSIG
2023-12-26 19:55:00,EHAM 261955Z 28003KT 9999 FEW025 04/03 Q1020 NOSIG
2023-12-26 19:25:00,EHAM 261925Z 28005KT 9999 FEW025 05/02 Q1019 NOSIG
2023-12-26 18:55:00,EHAM 261855Z 27006KT 260V320 9999 FEW032 05/03 Q1019 NOSIG
2023-12-26 18:25:00,EHAM 261825Z 29003KT 240V340 9999 FEW021 05/04 Q1019 NOSIG
2023-12-26 17:55:00,EHAM 261755Z 28005KT 9999 FEW019 06/03 Q1018 NOSIG
2023-12-26 17:25:00,EHAM 261725Z 27007KT 9999 FEW019 06/04 Q1018 NOSIG
2023-12-26 16:55:00,EHAM 261655Z 27007KT 9999 FEW020 SCT035 06/04 Q1018 NOSIG
